TIME,MODEL,SEED,ACC,PREC,RECALL,F1,MCC,NOTE
2026-03-09 23:56:31,03_roberta.py,9648,0.7171,0.6185,0.1025,0.1758,0.1610,-no update
2026-03-10 00:00:25,03_roberta.py,2022,0.7158,0.6152,0.0930,0.1616,0.1519
2026-03-10 00:32:15,03_roberta.py,2390,0.7168,0.6328,0.0910,0.1590,0.1561
2026-03-10 00:34:39,03_roberta.py,5027,0.7160,0.6178,0.0928,0.1614,0.1526
2026-03-10 00:40:28,03_roberta.py,3051,0.7172,0.6234,0.0999,0.1722,0.1606
2026-03-10 17:59:54,03_roberta.py,1756,0.7188,0.6291,0.1092,0.1861,0.1704,- BatchNorm
2026-03-10 18:08:24,03_roberta.py,1937,0.7193,0.6319,0.1116,0.1896,0.1734,- BatchNorm
2026-03-10 17:54:26,03_roberta.py,2497,0.7191,0.6338,0.1090,0.1860,0.1719,- BatchNorm
2026-03-10 18:47:10,03_roberta.py,7084,0.7203,0.5963,0.1551,0.2462,0.1907,- new save
2026-03-10 19:13:40,03_roberta.py,3299,0.7210,0.6261,0.1303,0.2158,0.1859,- new save
2026-03-10 19:15:23,03_roberta.py,3359,0.7188,0.6286,0.1097,0.1868,0.1706,- new save
2026-03-10 21:23:12,00_meta_classifier.py,16,0.7023,0.4959,0.6658,0.5684,0.3574,"Meta-Classifier Stacking // text,feature"
2026-03-10 21:23:36,00_meta_classifier.py,16,0.7023,0.4959,0.6658,0.5684,0.3574,"Meta-Classifier Stacking // text,feature"
2026-03-10 21:23:37,00_meta_classifier.py,16,0.7023,0.4959,0.6658,0.5684,0.3574,"Meta-Classifier Stacking // text,feature"
2026-03-10 22:49:12,01_rf.py,4489,0.6975,0.4892,0.6231,0.5481,0.3310,Random Forest // feature
2026-03-10 22:53:32,01_rf.py,5276,0.6973,0.4891,0.6265,0.5493,0.3323,Random Forest // feature
2026-03-10 22:53:52,01_rf.py,2406,0.6971,0.4888,0.6247,0.5485,0.3312,Random Forest // feature
2026-03-10 22:57:50,01_rf.py,5509,0.6980,0.4899,0.6262,0.5498,0.3332,Random Forest // feature
2026-03-10 22:57:55,01_rf.py,4288,0.6976,0.4894,0.6247,0.5488,0.3319,Random Forest // feature
2026-03-11 00:49:26,03_roberta.py,8880,0.7200,0.6291,0.1191,0.2003,0.1784,ZLATÝ BASELINE - saved
2026-03-11 00:53:16,03_roberta.py,4936,0.7197,0.5970,0.1472,0.2362,0.1858,ZLATÝ BASELINE - saved
2026-03-11 00:55:25,03_roberta.py,5671,0.7195,0.6255,0.1179,0.1984,0.1761,ZLATÝ BASELINE - saved
2026-03-11 01:32:45,03_roberta.py,4774,0.7196,0.6247,0.1193,0.2004,0.1769,ZLATÝ BASELINE - 1e-5
2026-03-11 01:41:23,03_roberta.py,387,0.7198,0.6352,0.1140,0.1933,0.1766,ZLATÝ BASELINE - 1e-5
2026-03-11 01:44:14,03_roberta.py,2807,0.7188,0.6239,0.1135,0.1921,0.1720,ZLATÝ BASELINE - 1e-5
